sku,marketplace_item_name_ar,marketplace_item_name_en,seller_item_name
1469,شوجارلو بلس 50/1000 مجم 30 قرص,SUGARLO PLUS 50 / 1000 MG 30 TAB,شوجارلو بلس 1000/50س ج 99
229,فلاجيل 500 مجم 20 قرص,FLAGYL 500 MG 20 TAB,فلاجيل 500 مجم 20 قرص سعر جديد
1305,لوفير 400 مجم 10 قرص,LOVIR 400 MG 10 TAB,لوفير 400مجم 10اقراص س ق
1540,روتاسي-60 اقراص,RUTA C 20 TAB,روتاسى 60 - 20ق
1182,اولفين 75 مجم / 2 مل 6 امبول,OLFEN 75 MG/2 ML 6 AMP.,اولفين امبول سعر جديد
4623,مايوديورا 10 مجم 30 قرص,MYODURA 10 MG 30 TAB,مايودورا 10 -3 شريط
2250,تريتاس بروتكت 10 مجم 20 قرص,TRITACE PROTECT 10 MG 20 TAB,تريتاس بروتكت 10مج 20قرص س ج
1367,انتيكوكس 15 مجم 30 قرص,ANTI-COX II 15 MG 30 TAB,انتى كوكس اا 15 30ق س ج ادويه
2510,ازجوفانس 40/1100 مجم 7 كبسولة,AZGOVANC 40/1100 MG 7 CAP,ازجوفانس 40 اقراص
1328,بلوكاتنس 10/160مجم 28 قرص,BLOKATENS 10 MG/160 28 TAB,بلوكاتنس 10 / 160 مجم 28 قرص
2006,التيازيم 60 مجم 40 قرص,ALTIAZEM 60 MG 40 TAB,التيازيم60- 40ق كبييير
583,جوسبرين 81 مجم 60 قرص,JUSPRIN 81 MG 60 TAB,جوسبرين81 3 شريط س 54
990,تورسيريتك 20 مجم 30 قرص,TORSERETIC 20 MG 30 TAB,تورسيريتك20م3شريط س ج /يوتوبيا
456,نانازوكسيد 500 مجم 18 قرص,NANAZOXID 500 MG 18 TAB,نانازوكسيد اقراص
775,دوكسيرازول 60 مجم 14 كبسول,DOXIRAZOL 60 MG 14 CAP,دوكسيرازول 60 مجم 14 كبسولة س * ج
1328,بلوكاتنس 10/160مجم 28 قرص,BLOKATENS 10 MG/160 28 TAB,بلوكاتنس 160/10 ***اقراص
977,الكابريس 10 مجم 30 قرص,ALKAPRESS 10 MG 30 TAB,الكابرس10مجم 30 قرص
372,بيتاسيرك 16 مجم 60 قرص,BETASERC 16 MG 60 TAB,بيتاسيرك 16 مجم اقراص/ابوت
1631,افيميو قطرة عين 10 مل,EFEMYO EYE DROP 10 ML,افيميو-قطره
1941,ميجافين 30 قرص,MEGAFEN 30 TAB,ميجافين اقراص 3شريط
1631,افيميو قطرة عين 10 مل,EFEMYO EYE DROP 10 ML,افيميو قطره
219,دالاسين سي 300 مجم 10 كبسول,DALACIN C 300 MG 10 CAP,دالاسين سى 300مجم ك
4762,ايزوجاست 20 مجم 14 كبسول,EZOGAST 20 MG 14 CAP,ايزوجاست 20 مجم 14 كبسولة
1720,توسيستوب شراب 100 مل,TUSSISTOP 30 MG/5ML SYRUP 100 ML,توسيستوب شراب ( ب 25 ) * س ج
3957,كيريلا مرهم 15 جم,KERELLA OINT. 15 GM,كريلا مرهم8.5جنيه/جلوبال
53,زيثرون 500 مجم 5 قرص,XITHRONE 500 MG 5 TAB,زيثرون 500 مجم 5 ك
1111,فيروجلوبين شراب 120 مل,FEROGLOBIN SYRUP 120 ML,فيروجلوبين شراب سعر ج
164,اوتريفين 0.1 % نقط انف للكبار 15 مل,OTRIVIN ADULT NASAL DROPS 15 ML,اوتريفين نقط 1% كبار س ج/نوفارتس
2542,اميولانت ان شراب 120 مل,IMMULANT SYRUP 120 ML,اميولانت شراب س ج
2570,سيلوكينزوك 200 مجم 28 قرص ممتد المفعول,SELOKENZOC S.R 200 MG 28 TAB,سيلو كينزوك 200مجم
1525,بيونال 30 كبسولة,BIONAL 30 CAP,بيونال كبسول3 شريط س ج
1573,اماريل 1 مجم 30 قرص,AMARYL 1 MG 30 TAB,اماريل 1 سعر 23
1240,ايمباكوزا 10 مجم 30 قرص,EMPACOZA 10 MG 30 TAB,ايمباكوزا 10مجم 30قرص
479,فيبراميسين 100 مجم 10 كبسولات,VIBRAMYCIN 100 MG 10 CAP,فيبراميسن ك س ج
478,سيريتايد ديسكس 250/50 مكجم 60 جرعة,SERETIDE DISKUS 250 / 50 MCG 60 DOSE,سيريتيد ديسكس 50/250 60جرعة
950,لازيلاكتون 20/50 مجم 30 قرص,LASILACTONE 50 MG 30 TAB,لازلكتون 50مجم 30 ق س 67جنيه
234,ستاركوبريكس 5 مجم 30 قرص,STARKOPREX 5 MG 30 TAB,ستاركوبريكس5مجم 30قرص #
313,تلفاست 120 مجم 20 قرص,TELFAST 120 MG 20 TAB,تلفاست 120 - 20ق-س.ج
992,بليتال 100 مجم 20 قرص,PLETAAL 100 MG 20 TAB,بليتال 100 ك س ج/اوتسوكا
1631,افيميو قطرة عين 10 مل,EFEMYO EYE DROP 10 ML,افيميو قطرة س ج
1324,ديكلاك 150 مجم 20 قرص,DICLAC 150 MG 20 TAB,ديكلاك150مجم20ق س ج
2520,ريسباتيو 20 مجم 20 قرص,RESPATIO 20 MG 20 TAB,ريسباتيو20مجم اقراص/ س ج
427,كولوفاتيل 30 قرص,COLOVATIL 30 TAB,كلوفاتيل اقراص سعر جديد 40.5ج
5591,سيتراك 1مجم/مل شراب 120 مل,CETRAK 5 MG/5ML SYRUP 120 ML,سيتراك 120 ملى شراب
1999,ايتوماش 50 مجم 30 قرص,ITOMASH 50 MG 30 TAB,ايتوماش اقراص سعر جديد
1434,التراكايين 5% جيل 30 جم,ULTRACAINE 5%GEL 30 GM,التراكايين 30مجم جيل كبير
1434,التراكايين 5% جيل 30 جم,ULTRACAINE 5%GEL 30 GM,التراكايين جيل حجم كبير ج
230,باي-بروفينيد 150 مجم 20 قرص,BI PROFENID S.R 150 MG 20 TAB,باى بروفينيد 20قرص جديد
243,باي-كيتوجيسيك 150 مجم 30 قرص,BI-KETOGESIC 150 MG 30 TAB,باى كيتوجسك
533,اميبرايد 50 مجم 20 قرص,AMIPRIDE 50 MG 20 TAB,اميبريد 50مجم اقراص سعر قديم
1778,جينوكونازول 0.8 % كريم مهبلي 30 جم,GYNOCONAZOL 0.8%VAGINAL CREAM 30 GM,جينوكونازول08% كريم
87,دوروفين 30 كبسولة,DOROFEN 30 CAP,دوروفين س جديد
299,سولوفريش 0.2 % قطرة عين 10 مل,SOLOFRESH 0.2%EYE DROP 10 ML,سولو فريش قطرة س0ج
708,فلورست ان 20 قرص,FLUREST -N 20 TAB,فلورست اقراص/ س - ج
2082,بينوكس 0.4% قطرة عين 10 مل,BENOX 0.4% EYE DROPS 10 ML,بينوكس 0.4% قطرة عين 10 مل
73,تافانيك 500 محم 5 قرص,TAVANIC 500 MG 5 TAB,تافانيك 500مجم 5قرص س ج
1538,انتوبرال 20 مجم 14 قرص,ANTOPRAL 20 MG 14 TAB,انتوبرال 20 مج اقراص/نوفارتيس
583,جوسبرين 81 مجم 60 قرص,JUSPRIN 81 MG 60 TAB,جوسبرين اقراص سعر جديد
3689,اتورستات 10 مجم 14 قرص,ATORSTAT 10 MG 14 TAB,اتورستات10مجم اقراص
2521,ايزابريل 20 مجم 20 قرص,EZAPRIL 20 MG 20 TAB,ايزابريل 20مجم 2 شريط
1999,ايتوماش 50 مجم 30 قرص,ITOMASH 50 MG 30 TAB,ايتوماش اقراص39ج
1611,كاندلكان بلس 32/12.5 مجم 14 قرص,CANDALKAN PLUS 32MG/12.5 MG 14 TAB,كاندلكان بلس 32 / 12.5 مجم ق-س.ج
965,ايفيبرونت شراب 100 مل,IVYPRONT SYRUP 120 ML,ايفيبرونت شراب سعر جدييد
8931,ايزيس نعناع 12 فلتر,ISIS PEPPERMINT 12 FILTER,ايزيس نعناع12 فلترس ج
993,سوفيناسين 5 مجم 30 قرص,SOFENACIN 5 MG 30 TAB,سوفيناسين 5م-3333شريط
1795,اوكيوجارد 30 كبسول,OCUGUARD 30 CAP,اوكيو جارد كبسول سعر جديد48ج
14,زوركال 40 مجم 14 قرص,ZURCAL 40 MG 14 TAB,زوركال 40مجم 14 قرص سعر جديد 66
4331,تومكس بلس 50 قرص,TOMEX PLUS 50 TAB,تومكس بلس كبسول س ج
3752,فاستل 180 مجم 20 قرص,FASTEL 180 MG 20 TAB,فاستيل 180مجم 10قرص**
1701,داونوبرازول 20/1100 مجم 14 كبسول,DOWNOPRAZOL 20MG/110 MG 14 CAP,داونوبرازول 20 اقراص س ج
112,بانتولوك 40 مجم 14 قرص,PANTOLOC 40 MG 14 TAB,بانتولوك 40مجم 2شريط68.5ج
476,اولابكس 10 مجم 30 قرص,OLAPEX 10 MG 30 TAB,اولابكس 10مجم 3شرائط س ج
1573,اماريل 1 مجم 30 قرص,AMARYL 1 MG 30 TAB,اماريل 1مجم
3021,اميولانت 20 كبسولة,IMMULANT 20 CAP,اميولانت كبسول عادى | 30ج س.ج
2629,دوكسيرازول 30 مجم 14 كبسول,DOXIRAZOL 30 MG 14 CAP,دوكسيرازول 30مجم كبسول
333,نيتروماك ريتارد 2.5 مجم 60 كبسولة,NITROMAK RETARD 2.5MG 60 CAP,نيتروماك ريتارد 2.5 مل كبسول
2097,شاى ريجيم رويال 25 فلتر,ROYAL REGIME TEA 25 FILTER,شاى رويال ريجيم = الصغير
1494,اكس تينشن بلس 300/12.5 مجم 28 قرص,X-TENSION PLUS 300MG/12.5 MG 28 TAB,اكستنشن 300 بلس جديد
2473,اليكاسال مرهم 30 جم,ELICASAL TOPICAL OINT. 30 GM,اليكاسال مرهم كبير30جرام
36,كونفنتين 300 مجم 30 كبسولة,CONVENTIN 300 MG 30 CAP,كونفينتين 300 ق 3 شريط
30,كتافلام 50 مجم 20 قرص,CATAFLAM 50 MG 20 TAB,كتافلام 50 مجم 2 شريط س.ق
2346,ادابالين 0.1% جيل 30 جم,ADAPALENE 0.1%GEL 30 GM,ادابالين جيل س.ج16.5ج
890,توينزول قطرة للعين 5 مل,TWINZOL EYE DROPS 5 ML,توينزول قطرة س.ق
1019,فلدين 20 مجم / مل 6 امبول عضل,FELDENE 20 MG/ML I.M 6 AMP.,فلدين 6 امبول /سعر جديد
588,زنك اوليف كريم 75 جرام,ZINC OLIVE BABY CREAM 75 GM,زنك اوليف كريم39جنيه
2006,التيازيم 60 مجم 40 قرص,ALTIAZEM 60 MG 40 TAB,التيازيم* اقراص/4شريط الكبير
273,داونوبرازول 40/1100 مجم 14 كبسول,DOWNOPRAZOL 40MG/110 MG 14 CAP,داونوبرازول 40 مجم 14 كبسول
2350,اتورستات 20 مجم 14 قرص,ATORSTAT 20 MG 14 TAB,اتورستات 20مجم 14قرص /دلتا
106,سبازمو ديجستين 30 قرص,SPASMODIGESTIN 30 TAB,سبازموديجستين اقراص س.ج
1573,اماريل 1 مجم 30 قرص,AMARYL 1 MG 30 TAB,اماريل 1مجم 3 شريط
1861,نيرهاسيلدا 75 مجم 8 فيلم سريع الذوبان بالفم,NERHASILDA 75 MG 8 O.D.F,نيرهاسيلدا 75مجم 8فيلم سعر جديد
583,جوسبرين 81 مجم 60 قرص,JUSPRIN 81 MG 60 TAB,جوسبرين ق12%0
2209,هيستازين-1 0.1 % شراب 100 مل,HISTAZINE SYRUP MG 100 ML,هيستازين شراب اطفال
277,هاي فريش 0.2 % قطرة عين 10 مل,HYFRESH 0.2%EYE DROP 10 ML,HYFRESH SOLUT.OPHTH. 2 MG /ML 1
184,دوليبران 1000 مجم 15 قرص,DOLIPRANE 1000 MG 15 TAB,دوليبران1000جم س ج@
2137,كالسيوم دي 3 اف 30 قرص,CALCIUM-D3 F 30 TAB,كالسيوم د 3 اف سعر 51
252,اماريل 3 مجم 30 قرص,AMARYL 3 MG 30 TAB,اماريل 3مجم 3شريط جديد
478,سيريتايد ديسكس 250/50 مكجم 60 جرعة,SERETIDE DISKUS 250 / 50 MCG 60 DOSE,سيريتيد50/250مجم 60جرعة
1036,إندرال 10 مجم 50 قرص,INDERAL 10 MG 50 TAB,اندرال 10مج 50قرص س.ج
2385,فوليكاب 2.5 مجم 24 كبسولة,FOLICAP 2.50 MG 24 CAP,فوليكاب 2.5 كبسول س ج
3198,ديبافالي 50 مجم 28 قرص,DIBAVALLY 50 MG 28 TAB,ديبافالى 50 مجم عادى > اقراص
994,فاست كيور 40 مجم 14 كبسول,FASTCURE 40 MG 14 CAP,فاست كيور 40 مجم 14 ك
219,دالاسين سي 300 مجم 10 كبسول,DALACIN C 300 MG 10 CAP,دالاسين سى 300 مجم قرص
1337,اكوا بلس شراب 100 مل,AQUA PLUS SYRUP 100 ML,اكوا بلس 100 ملى شراب س ج2
237,تلفاست 30مجم/5مل شراب معلق 100 مل,TELFAST 30 MG/5 ML SUSP. 100 ML,تلفاست شراب 100 مل س 022
1999,ايتوماش 50 مجم 30 قرص,ITOMASH 50 MG 30 TAB,ايتوماش* اقراص
415,بيوفيت 12 ديبو 2 امبول عضل,BIOVIT-12 DEPOT I.M. 2 AMP.,بيوفيت 12 -- حقن / س - ج
377,اتوريزا 10/10 مجم 28 قرص,ATOREZA 10 MG/10 28 TAB,اتوريزا 10/10 شريطين 2 شريط
1367,انتيكوكس 15 مجم 30 قرص,ANTI-COX II 15 MG 30 TAB,انتى كوكس 15مجم 3شريط سعر جديد
692,دولفين 12.5 مجم 10 أقماع,DOLPHIN 12.5 MG 10 SUPP.,دولفين 12.5 لبوس س ج
936,اتوريزا 10/40 مجم 28 قرص,ATOREZA 10 MG/40 28 TAB,اتوريزا40/10
1484,موبيتيل 15 مجم / 1.5 مل 3 امبول,MOBITIL 15 MG/1.5 ML 3 AMP.,موبيتيل 3 امبول جديد
26,اريك 100 مجم 12 قرص,EREC 100 MG 12 TAB,اريك 3 شريططططط
242,نيكسيكيور 40 مجم 20 قرص,NEXICURE 40 MG 20 TAB,نيكسيكور 40مجم س 86 جديد
273,داونوبرازول 40/1100 مجم 14 كبسول,DOWNOPRAZOL 40MG/110 MG 14 CAP,داونوبرازول40مجم ك س ج
2346,ادابالين 0.1% جيل 30 جم,ADAPALENE 0.1%GEL 30 GM,ادبالين---جيل جديد
505,دولفين 25 مجم 10 أقماع,DOLPHIN 25 MG 10 SUPP.,دولفين 25 مجم لبوس2 شريط*100
444,ليبراكس 30 قرص,LIBRAX 30 TAB,ليبراكس 30قرص #
670,سويتال 2 جم 50 كيس,SWEETAL 50 SACHETS,سويتال 50كيس جديد
105,فياجرا 100 مجم 4 اقراص,VIAGRA 100 MG 4 TAB,فياجرا100مجم كبير س ج
105,فياجرا 100 مجم 4 اقراص,VIAGRA 100 MG 4 TAB,فياجرا100مجم *س جديد
90,ديكساميثازون-المهن 8 مجم / 2 مل 5 امبول,DEXAMETHASONE-MUP 8 MG/2 ML 5 AMP.,ديكساميثازون امبول المهننن
479,فيبراميسين 100 مجم 10 كبسولات,VIBRAMYCIN 100 MG 10 CAP,فيبراميسين كبسول س ج
294,دلتافيت ب12 - 1 مجم 30 قرص تحت اللسان,DELTAVIT B12 1000 MCG 30 SUBLINGUAL TAB,دلتافيت ب 12 اقراص س.ج
96,جابتن 400 مجم 30 كبسولة,GAPTIN 400 MG 30 CAP,جابتن 400(3شريط)0
3516,كاندلكان 4 مجم 14 قرص,CANDALKAN 4 MG 14 TAB,كاندلكان 4 م
487,بليجيكا 1 % قطرة عين 10 مل,PLEGICA 1% EYE DROPS 10 ML,بليجيكا قطرة س.ج
950,لازيلاكتون 20/50 مجم 30 قرص,LASILACTONE 50 MG 30 TAB,لازلكتون 50مجم 48 جنيه
1705,لاسيكس 24 قرص,LASIX 40 MG 24 TAB,لاسيكس 40 مجم اقراااص
950,لازيلاكتون 20/50 مجم 30 قرص,LASILACTONE 50 MG 30 TAB,لازيلاكتون 50قرص سعر
836,تراى ليرج قطرة 10 مل,TRILLERG EYE DROPS 10 ML,تراى ليرج قطرة س ج**
843,اتاكاند 16 مجم 14 قرص,ATACAND 16 MG 14 TAB,اتاكاند 16 مجم 14 قرص سعر جديد=
206,ايراستابكس تريو 10/40/25 مجم 30 قرص,ERASTAPEX TRIO 10/40/25 MG 30 TAB,ايراستابكس تربو 10/40/25
1059,سيلجون 20 مجم 20 قرص,SELGON 20 MG 20 TAB,سيلجون 20مج 20قرص س.ج
814,فليكس 50 مكجم/جرعة بخاخ للانف 16 جم,FLIX 50 MCG/METERED NASAL SPRAY 20 ML,فليكس سبراى س.ج
624,اميجران ادكو 30 قرص,AMIGRAINE 30 TAB,اميجران 30 ق 3شريط /العربيه**
3181,برونكوبرو 7.5مجم/مل نقط بالفم 30 مل,BRONCHOPRO 15 MG/5 ML SYRUP 100 ML,برونكو برو نقط س قديم
297,بيسكالدين 300 مجم 15 كبسول,PIASCLEDINE 300 MG 15 CAP,بيسكالدين 300 سعر جديد
116,جليبتس بلس 50/1000 مجم 30 قرص,GLIPTUS PLUS 50/1000 MG 30 TAB,جليبتس بلس 50\1000 اقراص
1064,ثيوتاسيد مركب 300مجم 30 كبسول,THIOTACID COMPOUND 300 MG 30 CAP,ثيوتاسيد300مركب 3ش س ج/ايفا فارم
1312,موزابرايد 5 مجم 30 قرص,MOSAPRIDE 5 MG 30 TAB,موزابرايد 5مجم اقراص 3 شريط
2132,كولوماك محلول موضعى 10 مل,COLLOMAK SOUTION 10 ML,كوللومالك محلول 10 مل
2414,براديبيكت 7.5 مجم 28 قرص,BRADIPECT 7.50 MG 28 TAB,برادوبكت 7.5 مجم
58,ديكساميثازون-العامرية 8 مجم / 2 مل 3 امبول,DEXAMETHASONE-AMRIYA 8 MG/2 ML 3 AMP.,ديكساميثازون امبول عامرية سعر 15 ج
483,لوسترال 50 مجم 20 قرص,LUSTRAL 50 MG 20 TAB,لوسترال اقراص
3957,كيريلا مرهم 15 جم,KERELLA OINT. 15 GM,كيرلا مرهم س ج
9,فيلداجلوز بلس 50 / 1000 مجم 30 قرص,VILDAGLUSE PLUS 50/1000 MG 30 TAB,فيلداجلوز بلس سعر ج
3114,سالبوفنت 2 مجم /5 مل شراب 120 مل,SALBOVENT SYRUP 120 ML,سالبوفنت شراب(س ج
1517,جليكودال 30 قرص مضغ,GLYCODAL 30 CHEWABLE TAB,جليكودال اقراص اسكندرية جديد
2986,بكتي برو 0.3 % شراب 90 مل,PECTIPRO 0.3% SYRUP 90 ML,بكتى برو شراب=
2250,تريتاس بروتكت 10 مجم 20 قرص,TRITACE PROTECT 10 MG 20 TAB,تريتاس بروتكت10مجم 20ق/افنتس
2250,تريتاس بروتكت 10 مجم 20 قرص,TRITACE PROTECT 10 MG 20 TAB,تريتاس بروتكت 10 مجم 20 قرص س.ج
1619,اسبريكارلو 81 مجم 30 قرص للمضغ,ASPRICARLO 81 MG 30 CHEWABLE TAB,اسبريكارلو 81مجم
1484,موبيتيل 15 مجم / 1.5 مل 3 امبول,MOBITIL 15 MG/1.5 ML 3 AMP.,موبتيل امبول
2375,ماريفان 3 مجم 100 قرص,MAREVAN 3 MG 100 TAB,ماريفان3مجم اقراص سعر18
14,زوركال 40 مجم 14 قرص,ZURCAL 40 MG 14 TAB,زوراكال40 مجم شريط س ج
65,بيفاتراسين سبراى 150جم,BIVATRACIN SPRAY 150 ML,بيفاتراسين سبراى سعر43
843,اتاكاند 16 مجم 14 قرص,ATACAND 16 MG 14 TAB,اتاكاند 16 م عادى
692,دولفين 12.5 مجم 10 أقماع,DOLPHIN 12.5 MG 10 SUPP.,دولفن 12.5 لبوس 2 شريط س ج
428,ميوفين 30 كبسول,MYOFEN 30 CAP,ميوفين 30 كبسولة/ايفا س جديد
924,دانتريلاكس مركب 30 كبسولة,DANTRELAX COMPOUND 30 CAP,دانتريلكس مركب كبسول
152,كيتولاك 30 مجم / 2 مل 5 امبول,KETOLAC 30 MG/2 ML 5 AMP.,كيتولاك 5 امبول س ج
1457,إندرال 40 مجم 50 قرص,INDERAL 40 MG 50 TAB,اندرال 40 م ق
941,اوركاديكسولين قطرة عين 5 مل,ORCHADEXOLINE EYE DROPS 5 ML,اوركادوكسالين 5مل قطرة س جديد
2953,بلينديل 10 مجم 30 قرص,PLENDIL 10 MG 30 TAB,بليندل 10 مجم اقراص جديد
1334,جينوزول 2 % كريم مهبلي 40 جم,GYNOZOL 2%VAGINAL CREAM 40 GM,جينوزول كريم فاركو1 س ج
184,دوليبران 1000 مجم 15 قرص,DOLIPRANE 1000 MG 15 TAB,دوليبران اقراص س ج28.5
353,جويبوكس 60 مجم 6 قرص,JOYPOX 60 MG 6 TAB,جوى بوكس 60مجم كومبو106ج
1064,ثيوتاسيد مركب 300مجم 30 كبسول,THIOTACID COMPOUND 300 MG 30 CAP,ثيوتاسيد 300 مركب كبسول سعر91.5
645,جابتن 100 مجم 30 كبسولة,GAPTIN 100 MG 30 CAP,جابتن 100 مجم 30 كبسول
3021,اميولانت 20 كبسولة,IMMULANT 20 CAP,اميولانت 20كبسوله
230,باي-بروفينيد 150 مجم 20 قرص,BI PROFENID S.R 150 MG 20 TAB,BI PROFENID TABS S.R 150 MG 20
164,اوتريفين 0.1 % نقط انف للكبار 15 مل,OTRIVIN ADULT NASAL DROPS 15 ML,"اوتريفين نقط كبار سعر جديد"""
2529,كاردورا 1 مجم 21 قرص,CARDURA 1 MG 21 TAB,كاردورا 1 مجم*/س ج
1808,كلوباترا 0.05 % كريم 25 جم,CLOBUTRA 0.05%CREAM 25 GM,كلوباترا كريم 25 جم(س.ج)0*
666,ال-كارنيتين 20 كبسولة,L-CARNITINE 350 MG 20 CAP,ال كارنيتين كبسول/ميباكو
1003,فيلدافورمين 50 / 1000 مجم 30 قرص,VILDAFORMIN 50MG/1000 MG 30 TAB,فيلدافورمين50/1000مجم س ج
505,دولفين 25 مجم 10 أقماع,DOLPHIN 25 MG 10 SUPP.,دولفين 25مجم لبوس س.ج
5,بلافيكس 75 مجم 28 قرص,PLAVIX 75 MG 28 TAB,بلافيكس 75
414,نازاكورت 55مكجم بخاخ بالأنف 120 جرعة,NASACORT AQ 55 MCG NASAL SPRAY 120 DOSE,نازوكورت اسبراى23/7
130,فيدروب 2800 وحدة دولية/مل نقط بالفم 15 مل,VIDROP 2800 I.U./ML ORAL DROPS 15 ML,فيدروب 26ج
4957,توبمود 50 مجم 30 كبسولة,TOPMODE 50 MG 30 CAP,توبمود عادى ك
36,كونفنتين 300 مجم 30 كبسولة,CONVENTIN 300 MG 30 CAP,كونفنتين 300مجم 30 كبسول س.ج
2068,سلفستر 1 20 كبسول,SYLVESTRE-1 20 CAP,سيلفستر1 كبسولة
297,بيسكالدين 300 مجم 15 كبسول,PIASCLEDINE 300 MG 15 CAP,بسكالدين300جم س ج
84,اوميز 20 مجم 14 كبسول,OMEZ 20 MG 14 CAP,اوميز 20مجم 14 كبسول
176,سليبريكس 200 مجم 15 كبسولة,CELEBREX 200 MG 15 CAP,سليبركس200مجم 15كبسولة 113.5 ج
2285,جراليبنتين اكس آر 300 مجم 30 قرص,GRALIPENTIN XR 300 MG 30 TAB,جراليبنتين300
1408,يوريبان 5 مجم 30 قرص,URIPAN 5 MG 30 TAB,يوريبان اقراص 3ش سعر جديد
1979,كوليروز 5 مجم 14 قرص,CHOLEROSE 5 MG 14 TAB,كوليروز 5مج 14ق س ج/ماركيرل
1448,اكساميد 5 مجم 30 قرص,EXAMIDE 5 MG 30 TAB,اكساميد 5 مجم 30 قرص س - ج *
1067,دانتريلاكس 25 مجم 30 كبسولة,DANTRELAX 25 MG 30 CAP,دانتريلاكس 25عادى مجم
998,ثرومبكس جيل 40 جم,THROMBEXX DNA GEL 40 GM,ثرومبكس جل40جم(1120و) س ج/مينا فارم
26,اريك 100 مجم 12 قرص,EREC 100 MG 12 TAB,اريك 3شريط قديييييم.
1626,لازيلاكتون 100/20مجم 30 قرص,LASILACTONE 100 MG 30 TAB,لازيلاكتون 100مج اقراص سعر جديد ركزز
2097,شاى ريجيم رويال 25 فلتر,ROYAL REGIME TEA 25 FILTER,شاى رويال ريجيم صغير
4115,كروميوم - ميباكو 20 كبسول,CHROMIUM 20 CAP,كروميوم كبسول جديييييييد
712,نيوروباتكس 600 مجم 20 كبسول,NEUROPATEX 600 MG 20 CAP,نيوروباتكس كبسول/اتوس س.ج
1031,تامسولين بلس 0.4/6 مجم 20 قرص ممتد المفعول,TAMSULIN PLUS 6/0.4MG 20 MR TAB,تامسولين بلاس اقراص
1316,ايراستابكس 40 مجم 30 قرص,ERASTAPEX 40 MG 30 TAB,اريستابكس 40 مجم اقراص
2279,ماء غريب بامبينو شراب 120 مل,GRIPE WATER BAMBIN SYRUP 120 ML,ماء غريب بامبينو شراب(هام)0 س ج
660,ديورجوي 60 مجم 3 قرص,DURJOY 60 MG 3 TAB,ديورى جوى اقراص
60,ريفاروسبير 10 مجم 20 قرص,RIVAROSPIRE 10 MG 20 TAB,ريفاروسبيرو10م 2شريط س/254
247,بروتوفيكس 40 مجم 14 قرص,PROTOFIX 40 MG 14 TAB,بروتوفكس 40 مجم كبسول سعر جديد
1517,جليكودال 30 قرص مضغ,GLYCODAL 30 CHEWABLE TAB,جليكودال 30قرص س ج .
2506,ريموواكس نقط للاذن 15 مل,REMOWAX EAR DROPS 15 ML,ريموواكس 15مل نقط اذن
1436,ديباكين 200 مجم / مل محلول بالفم 40 مل,DEPAKINE 200 MG/ML ORAL SOLUTION 40 ML,ديباكين نقط(سعر
146,اليكويس 5 مجم 20 قرص,ELIQUIS 5 MG 20 TAB,اليكويس 5 ق*10
4188,ويست أير 4 مجم 14 كيس,WESTAIR 4 MG 14 SACHETS,ويست اير فوار سعر ج
346,اماريل ام 2/500مجم 30 قرص,AMARYL M 2 MG/500 30 TAB,اماريل ام مجم3شريط جديد
147,فيروترون 30 كبسول,FERROTRON 30 CAP,فيروترون ( 3 ) شريط
3680,جينوكونازول 0.4 % كريم مهبلي 30 جم,GYNOCONAZOL 0.4%VAGINAL CREAM 30 GM,جينوكونازول .4كريم /ابيكس
2082,بينوكس 0.4% قطرة عين 10 مل,BENOX 0.4% EYE DROPS 10 ML,بينوكس قطرة/ايبيكو س جديد
1394,ايسوبتن ريتارد 240 مجم 30 قرص,ISOPTIN SR 240 MG 30 TAB,ايزوبتن 240مجم اس ار 30قرص س ج
2013,نوفيستوريك 20 مجم 14 قرص,NOVISTORIC 20 MG 14 TAB,نوفيستوريك20مجم 14قرص س.ج
3580,زيستريل 5 مجم 10 قرص,ZESTRIL 5 MG 10 TAB,زيستريل 5مجم اقراص جديد
1720,توسيستوب شراب 100 مل,TUSSISTOP 30 MG/5ML SYRUP 100 ML,توسيستوب شراب100م/الدلتا للتجاره
622,فيسرالجين 50 مجم 20 قرص,VISCERALGINE 50 MG 20 TAB,فسرالجين ق سعر جديد
1317,تورسيريتك 10 مجم 30 قرص,TORSERETIC 10 MG 30 TAB,تورسيرتيك10مج جديد
513,اوتريفين 0.05 % نقط أنف للأطفال 15 مل,OTRIVIN PEDIATRIC 0.05% NASAL DROPS 15 ML,اوتريفين اطفال16ج
53,زيثرون 500 مجم 5 قرص,XITHRONE 500 MG 5 TAB,زيثرون 500م5ق
313,تلفاست 120 مجم 20 قرص,TELFAST 120 MG 20 TAB,تلفاست 120 مجم 20 قرص * س.ج
3711,سيكودال 2 مجم 30 قرص,PSYCHODAL 2 MG 30 TAB,سيكودال 2مجم3 شريط
2856,ديلاترول 6.25 مجم 30 قرص,DILATROL 6.25 MG 30 TAB,ديلاترول 6.25-3333شريط
1055,كريستوليب 10 مجم 30 قرص,CRESTOLIP 10 MG 30 TAB,كرستوليب10مجم اقراص
938,بون كير 1 مكجم 30 كبسولة,BONE CARE 1 MCG 30 CAP,بون كير1ميكرو جرام
1889,لاكريتيرز قطرة عين 15 مل,LACRITEARS 0.5% EYE DROPS 15 ML,لاكريتيرز 15 مل نقط للعين
2296,اكس تينشن 150 مجم 28 قرص,X-TENSION 150 MG 28 TAB,اكستنشين 150مجم اقراص عادى
